text,cmp_code,eu_code,party
"They will set priorities for lending, giving every region and nation a new and powerful lever to rebuild their economy on their own terms.",410,,Labour
"We will shift the political centre of gravity by placing the National Transformation Fund Unit, a key part of the Treasury, in the North of England",301,,Labour
"and build up the regional offices of government in each of the nine English regions to co-ordinate government policies at the regional level,",301,,Labour
as well as ensuring a regional voice in Whitehall.,301,,Labour
"Energy use in buildings accounts for 56% of the UK’s total emissions, making it the single most polluting sector.",416.2,,Labour
We will develop the recommendations of our ‘30 by 2030’ report to put the UK on track for a net-zero-carbon energy system within the 2030s –,416.2,,Labour
We will deliver nearly 90% of electricity and 50% of heat from renewable and low-carbon sources by 2030.,416.2,,Labour
"We will build: 7,000 new offshore wind turbines",416.2,,Labour
"2,000 new onshore wind turbines",416.2,,Labour
"Enough solar panels to cover 22,000 football pitches.",416.2,,Labour
New nuclear power needed for energy security.,416.2,,Labour
We will trial and expand tidal energy and invest to reduce the costs of renewable and low-carbon hydrogen production.,416.2,,Labour
"We will upgrade almost all of the UK’s 27 million homes to the highest energy-efficiency standards, .",416.2,,Labour
reducing the average household energy bill by £417 per household per year by 2030 and eliminating fuel poverty,503,,Labour
We will introduce a zero-carbon homes standard for all new homes.,416.2,,Labour
"As part of heat decarbonisation, we will roll out technologies like heat pumps, solar hot water and hydrogen,",416.2,,Labour
and invest in district heat networks using waste heat.,416.2,,Labour
"To balance the grid, we will expand power storage and invest in grid enhancements and interconnectors.",411,,Labour
"We will expand distributed and community energy,",416.2,,Labour
and immediately and permanently ban fracking.,416.2,,Labour
We will support energy workers through transition and guarantee them retraining,411,,Labour
"and a new, unionised job on equivalent terms and conditions.",701,,Labour
"We will introduce a windfall tax on oil companies, so that the companies that knowingly damaged our climate will help cover the costs.",416.2,,Labour
"We will provide a strategy to safeguard the people, jobs and skills that depend on the offshore oil and gas industry.",701,,Labour
"We will not achieve the promise of a fair and sustainable economy if we repeat the mistakes of the carbon era, when the capture of a natural resource for private profit created a vastly unequal and polluting economy dominated by powerful vested interests.",416.2,,Labour
"From the depletion of fish stocks to the burning of the Amazon, profit has proved a poor regulator for use of our natural resources.",416.2,,Labour
"Whether it is the trillions of litres of water lost through leakages,",411,,Labour
barriers to renewable energy connecting to the grid,416.2,,Labour
"or the billions of pounds of bill- payers’ money being siphoned off in dividends to wealthy shareholders,",503,,Labour
Tory privatisation of our utilities has been a disaster for both our planet and our wallets.,413,,Labour
We will put people and planet before profit by bringing our energy and water systems into democratic public ownership.,413,,Labour
"In public hands, energy and water will be treated as rights rather than commodities,",201.2,,Labour
with any surplus reinvested or used to reduce bills.,503,,Labour
"Communities themselves will decide, because utilities won’t be run from Whitehall but by service-users and workers.",413,,Labour
Public ownership will secure democratic control over nationally strategic infrastructure,413,,Labour
and provide collective stewardship for key natural resources.,501,,Labour
"In the case of energy, it will also help deliver Labour’s ambitious emissions targets.",501,,Labour
"Whereas private network companies have failed to upgrade the grid at the speed and scale needed,",411,,Labour
publicly owned networks will accelerate and co-ordinate investment to connect renewable and low-carbon energy,416.2,,Labour
while working with energy unions to support energy workers through the transition.,701,,Labour
Under Labour’s plans: A new UK National Energy Agency will own and maintain the national grid infrastructure and oversee the delivery of our decarbonisation targets.,413,,Labour
14 new Regional Energy Agencies will replace the existing district network operators,301,,Labour
and hold statutory responsibility for decarbonising electricity and heat,416.2,,Labour
The supply arms of the Big Six energy companies will be brought into public ownership where they will continue to supply households with energy,413,,Labour
while helping them to reduce their energy demands.,416.2,,Labour
The Conservatives allowed the proceeds of North Sea oil to be squandered on tax cuts for the richest,503,,Labour
"and captured in profits for the few, instead of investing them in our future.",503,,Labour
We now stand at an even greater crossroads in the development of our national economy.,413,,Labour
"Under Labour, our green future will be owned by all of us.",413,,Labour
"Whenever public money is invested in an energy generation project, the public sector will take a stake and return profits to the public.",503,,Labour
Averting climate catastrophe offers huge economic opportunities.,416.2,,Labour
But Britain will only benefit from a Green Industrial Revolution with the right policies.,416.2,,Labour
"Over the past three decades, Britain has reduced its emissions at the expense of domestic industry by offshoring production.",416.2,,Labour
"This is an accounting trick, not a solution.",416.2,,Labour
It does not protect the climate,501,,Labour
and it damages jobs and communities at home,416.2,,Labour
Labour will take full responsibility for our carbon footprint instead of passing the buck.,501,,Labour
"We will instruct the Committee on Climate Change to assess the emissions the UK imports as well as those it produces, and recommend policies to tackle them,",501,,Labour
including making UK industry the greenest in the world.,501,,Labour
The Conservatives have presided over a lost decade of productivity and allowed Britain to fall behind in the green technologies of the future.,416.2,,Labour
Labour will make sure this never happens again.,416.2,,Labour
"Targeted science, research and innovation will be crucial to tackling the climate crisis,",411,,Labour
dealing with the plastic waste filling our oceans,501,,Labour
"and addressing other societal challenges, such as an ageing population",706,,Labour
"As part of our plan to usher in a Green Industrial Revolution, Labour will create an innovation nation, setting a target for 3% of GDP to be spent on research and development (R&D) by 2030.",411,,Labour
We will achieve this target by increasing direct support for R&D,411,,Labour
and reforming the innovation ecosystem to better ‘crowd in’ private investment.,402,,Labour
We will establish a Foundation Industries Sector Council to provide a clean and long-term future for our existing heavy industries like steel and glass,411,,Labour
and fund R&D into newer technologies like hydrogen and carbon capture and storage.,411,,Labour
A thriving steel industry will be vital to the Green Industrial Revolution.,411,,Labour
"Labour will support our steel through public procurement,",413,,Labour
"taking action on industrial energy prices, exempting new capital from business rates",402,,Labour
building three new steel recycling plants,411,,Labour
and upgrading existing production sites.,411,,Labour
"We will ensure that new technologies aren’t just invented here, but are engineered, manufactured and exported from here.",411,,Labour
"We will put British innovation at the heart of our procurement to support local sourcing and reshoring, so that every investment we make strengthens our manufacturing and engineering sectors and supply chains",411,,Labour
"and creates hundreds of thousands of good, unionised jobs here at home.",701,,Labour
We will use the power of public procurement to strengthen local jobs and supply chains,701,,Labour
"and will require all companies bidding for public contracts to recognise trade unions,",701,,Labour
and demonstrate equalities best practice.,503,,Labour
"As we transition, we will ensure the UK’s automotive sector isn’t left behind by the electric revolution by investing in three new gigafactories",411,,Labour
and four metal reprocessing plants.,411,,Labour
By supporting UK-made electrical steel we will ensure robust support for an end to end UK supply chain.,410,,Labour
We’ll also take on the global plastics crisis by investing in a new plastics remanufacturing industry,416.2,,Labour
", ending exports of plastic waste",416.2,,Labour
and reducing our contribution to ocean pollution.,416.2,,Labour
Labour’s progressive trade strategy will be aligned with our industrial strategy to help develop the industrial base needed to deliver high-quality exports,410,,Labour
and the decent jobs that go with them.,701,,Labour
"Labour will champion exports from the environmental goods and services sector,",410,,Labour
"building on the 300,000 jobs that the sector already sustains.",701,,Labour
"We will uphold the highest environmental and social regulations in all our trade relations,",416.2,,Labour
and will never downgrade standards as ‘barriers’ to trade.,416.2,,Labour
"Our Green Industrial Revolution will create at least one million well-paid,",701,,Labour
We will train people in the skills they need to access these jobs of the future.,411,,Labour
Britain’s skills crisis has grown under the Tories.,411,,Labour
"The Apprenticeship Levy has been beset by problems, leaving employers paying into a training budget they are unable to spend.",403,,Labour
And it is not delivering for small businesses.,403,,Labour
We cannot afford to carry on like this.,403,,Labour
"Labour will make it easier for employers to spend the levy by allowing it to be used for a wider range of accredited training, in line with guidelines set by the Institute for Apprenticeships and Technical Education and government’s wider priorities for the economy.",411,,Labour
We will launch a Climate Apprenticeship programme to enable employers to develop the skills needed to lead the world in clean technology.,411,,Labour
"Under this programme, employers will be expected to allocate 25% of the funds in their Apprenticeship Levy accounts to training Climate Apprentices.",411,,Labour
"These funds can be spent directly or allocated to a ring-fenced Climate Apprenticeship Fund, which will be topped up with any surplus raised through Inclusive Ownership Funds and made accessible to non- levy-paying businesses.",411,,Labour
"Targeted bursaries will be available to women,",503,,Labour
to encourage them to take up climate apprenticeships – the STEM of the future.,411,,Labour
We will further help small businesses by increasing the amount that can be transferred to non-levy-paying employers to 50%,402,,Labour
and introducing an online matching service to help levy-paying businesses find smaller businesses to transfer their funds to.,402,,Labour
"Labour will build a sustainable, affordable, accessible and integrated transport system,  founded on the principle that transport is an essential public service.",411,,Labour
Cutting emissions will drive our transport policies.,416.2,,Labour
We will review public expenditure on transport to ensure that it promotes environmental sustainability and contributes to decarbonisation.,416.2,,Labour
"Bus services have been devastated by the Conservatives, despite carrying more people than any other mode of public transport.",411,,Labour
"Women are especially dependent on buses, which also provide a lifeline for both older and younger people and for many economically disadvantaged groups.",411,,Labour
"Labour will ensure that councils can improve bus services by regulating and taking public ownership of bus networks,",413,,Labour
"and we will give them resources and full legal powers to achieve this cost-effectively,",301,,Labour
thereby ending the race to the bottom in working conditions for bus workers.,701,,Labour
"Where councils take control of their buses, Labour will introduce free bus travel for under-25s.",503,,Labour
"We will increase and expand local services, reinstating the 3,000 routes that have been cut, particularly hitting rural communities.",411,,Labour
"Labour will deliver improvements for rail passengers by bringing our railways back into public ownership, using options including franchise expiry.",413,,Labour
"This will enable us to make fares simpler and more affordable,",503,,Labour
"rebuild the fragmented railways as a nationally integrated public service,",413,,Labour
"cut the wastage of private profit,",413,,Labour
"improve accessibility for disabled people,",503,,Labour
ensure safe staffing levels and end driver-only operation.,701,,Labour
Our publicly owned rail company will steer network planning and investments.,411,,Labour
"It will co-ordinate mainline upgrades, resignalling, rolling stock replacement and major projects.",411,,Labour
"We will implement a full, rolling programme of electrification.",411,,Labour
"Our model will ensure continuity of skills,",411,,Labour
"and supply chain capacity to reduce costs,",403,,Labour
and support the economic benefits of Labour’s Green Industrial Revolution.,416.2,,Labour
We will introduce a long-term investment plan including delivering Crossrail for the North as part of improved connectivity across the northern regions.,411,,Labour
We will consult with local communities to reopen branch lines.,411,,Labour
"We will also unlock capacity and extend high-speed rail networks nationwide by completing the full HS2 route to Scotland,",411,,Labour
taking full account of the environmental impacts of different route options.,416.2,,Labour
"We will deliver rail electrification and expansion across the whole country,",411,,Labour
We will ensure that these major infrastructure projects are a model of good employment practice,701,,Labour
and pay due regard to the environmental impact.,501,,Labour
"We will promote the use of rail freight in order to reduce carbon emissions, air pollutants and congestion on the roads",501,,Labour
and expand the provision of publicly owned rail freight services.,413,,Labour
We will increase the funding available for cycling and walking.,416.2,,Labour
"We will bring together transport and land-use planning to create towns and cities in which walking and cycling are the best choice: safe, accessible, healthy, efficient, economical and pollution- free.",416.2,,Labour
We will help children’s health and well-being by ensuring street designs provide freedom for physically active outdoor play,504,,Labour
"and by introducing measures to ensure the zones around our schools are safer, with cleaner air.",416.2,,Labour
"Our transport programme is focused on creating better, publicly accessible local transport systems.",411,,Labour
"By improving public transport, Labour will help people to become less reliant on their cars, for our better health",416.2,,Labour
and to improve quality of life in our towns and cities.,503,,Labour
The Conservatives have committed to ending new sales of combustion engine vehicles by 2040.,501,,Labour
We will position the UK at the forefront of the development and manufacture of ultra-low emission vehicles,416.2,,Labour
We will invest in electric vehicle charging infrastructure,416.2,,Labour
and in electric community car clubs.,416.2,,Labour
We will accelerate the transition of our public sector car fleets and our public buses to zero-emissions vehicles.,416.2,,Labour
"We will reform taxi and private hire services, including a review of licensing authority jurisdictions, setting national minimum standards of safety and accessibility",403,,Labour
and updating regulations to keep pace with technological change,411,,Labour
and to close loopholes to ensure a level playing field.,403,,Labour
"We will adopt an ambitious Vision Zero approach to UK road safety, striving for zero deaths and serious injuries.",403,,Labour
"Labour will invest to make our neglected local roads, pavements and cycleways safer for the everyday journeys of both drivers and vulnerable road users.",411,,Labour
We will review all tolled crossings.,411,,Labour
Labour recognises the Davies Commission’s assessment of pressures on airport capacity in the South East.,411,,Labour
"Any expansion of airports must pass our tests on air quality,",416.2,,Labour
We will examine fiscal and regulatory options to ensure a response to the climate crisis in a way that is fair to consumers,403,,Labour
We will take action to end nationality- based discrimination in seafarer pay.,503,,Labour
A Labour government’s Green Industrial Revolution is complemented by our Plan for Nature.,501,,Labour
Our commitments to ecosystem repair and environmental protections,501,,Labour
work hand in hand with sustainable jobs,701,,Labour
"We are facing a climate and environment emergency, and unlike the Tories we will not trade our environment in pursuit of reckless trade agreements.",416.2,,Labour
"Labour will review and improve protected area designations, from National Parks",501,,Labour
"We will introduce a Climate and Environment Emergency Bill setting out in law robust, binding new standards for decarbonisation,",501,,Labour
and habitats and species protection.,501,,Labour
We will maintain and continuously improve the existing EU standards of environmental regulation.,501,,Labour
"Our polluted air contributes to over 40,000 premature deaths a year",501,,Labour
with further impacts on children’s health.,501,,Labour
But the Conservatives’ air-quality measures are so inadequate they have been found to be illegal.,305.1,,Labour
"Labour will introduce a new Clean Air Act,",501,,Labour
with a vehicle scrappage scheme,501,,Labour
"and clean air zones, complying with World Health Organisation limits for fine particles and nitrous oxides.",501,,Labour
We will provide an extra £5.6 billion in funding to improve the standard of flood defences,501,,Labour
"and respond to the increased risk of flooding, prioritising areas at risk in North West England, Yorkshire and the East Midlands that have been neglected by Conservative investments.",501,,Labour
Our Plan for Nature will set legally binding targets to drive the restoration of species and habitats.,501,,Labour
"We will embark on an ambitious programme of tree planting, with both forestry and native woodland species.",501,,Labour
"We will fully fund the Environment Agency and other frontline environment agencies,",501,,Labour
and improve upstream river management.,501,,Labour
"We will create new National Parks alongside a revised system of other protected area designations, which will guard existing wildlife sites and join up important habitats,",501,,Labour
while also ensuring more people can enjoy living closer to nature.,503,,Labour
We will establish a new environmental tribunal to ensure that administrative decisions are consistent with environmental and nature-recovery obligations.,501,,Labour
"Land is a public good, but it is not a common asset.",413,,Labour
"In 1979, 20% of land was owned by the public sector.",413,,Labour
Green Belts protect one tenth of our land,501,,Labour
and offer conservation of some of our natural environment.,501,,Labour
"Introduced by Labour in 1947 to provide access to the countryside, they are threatened by developments.",501,,Labour
A Labour government will maintain agricultural and rural structural funds but repurpose them to support environmental land management and,501,,Labour
sustainable methods of food production.,703.1,,Labour
"We will invest in more county farms to replace those lost,",703.1,,Labour
and will work with agricultural organisations to increase access into farming for new entrants.,703.1,,Labour
"A quarter of all food purchased is wasted every year, equivalent to over 20 million tonnes of greenhouse gas emissions, costing over £20 billion.",501,,Labour
"Yet Britain has an epidemic in food- related ill health, obesity, malnutrition and diabetes,",504,,Labour
as well as increased food insecurity – with a boom in food bank use and record levels of hunger.,503,,Labour
Labour will introduce A Right to Food.,201.2,,Labour
We will end ‘food bank Britain’.,412,,Labour
"We will ensure everyone has access to healthy, nutritious, sustainably produced food.",412,,Labour
We will halve food bank usage within a year,412,,Labour
and remove the need for them altogether in three years.,412,,Labour
We will establish a National Food Commission and review the Allotments Act.,412,,Labour
We will make food security a reason to intervene in the economy and work with local councils to minimise food waste .,412,,Labour
"We will put farmers, fishers, food producers and workers at the heart of our plans for delivering healthy food locally.",703.1,,Labour
"We will support local food networks,",703.1,,Labour
and ensure rights of union representation for all food and agricultural workers.,701,,Labour
We will re-establish an Agricultural Wages Board in England so every part of the UK is covered.,703.1,,Labour
"We will set maximum sustainable yields for all shared fish stocks,",416.2,,Labour
redistribute fish quotas along social and environmental criteria,416.2,,Labour
"and, if people vote to leave the EU, require the majority of fish caught under a UK quota to be landed in UK ports.",406,,Labour
We aim to achieve net-zero-carbon food production in Britain by 2040.,416.2,,Labour
"Waste, including plastic waste, pollutes our land and seas, killing wildlife and contaminating our food.",501,,Labour
"We will make producers responsible for the waste they create and for the full cost of recycling or disposal, encouraging more sustainable design and manufacturing.",416.2,,Labour
"In government in Wales, Labour has transformed the position of recycling, placing them in the top five globally for recycling rates.",416.2,,Labour
"A UK Labour government will learn from Wales’ example, and will also back bottle-return schemes.",416.2,,Labour
We will invest in three new recyclable steel plants in areas with a proud history of steel manufacturing.,411,,Labour
The Conservatives will sacrifice animal welfare standards in trade deals with other countries.,501,,Labour
They threaten to bring back fox hunting and are pursuing the ineffective badger cull – the largest destruction of a protected species in living memory.,501,,Labour
Labour has published an ambitious animal welfare manifesto which reiterates our commitments to prohibit foxhunting,501,,Labour
"In England, we will introduce an animal welfare commissioner,",501,,Labour
"prohibit the sale of snares and glue traps,",501,,Labour
and ban the keeping of primates as pets.,501,,Labour
"We will work internationally to end commercial whaling,",501,,Labour
"ban the importation of hunting trophies of threatened species,",501,,Labour
and boost police resources to tackle rural and wildlife crime.,605.1,,Labour
"Universal public services, collectively provided through general taxation and free at the point of use for all, are how we guarantee the right to a good life.",606.1,,Labour
Public services do more than make sure everyone has the basics.,606.1,,Labour
They create shared experiences and strengthen social bonds.,606.1,,Labour
They make our lives richer and more fulfilling.,606.1,,Labour
A decade of Tory cuts has pushed our public services to breaking point.,305.1,,Labour
Labour offers real change – we will make Britain’s public services the best and most extensive in the world.,606.1,,Labour
"We will pay for this by creating a fairer taxation system, asking for a little more from those with the broadest shoulders,",503,,Labour
and making sure that everyone pays what they owe.,503,,Labour
We will reverse some of the Tories’ cuts to corporation tax while keeping rates lower than in 2010.,503,,Labour
"We’ll ask those who earn more than £80,000 a year to pay a little more income tax,",503,,Labour
while freezing National Insurance and income tax rates for everyone else.,503,,Labour
We will end the unfairness that sees income from wealth taxed at lower rates than income from work.,503,,Labour
VAT is a regressive tax that hits the poorest hardest and we guarantee no increases in VAT.,503,,Labour
We will launch the biggest ever crackdown on tax avoidance and evasion,503,,Labour
and reform the inefficient system of tax reliefs,503,,Labour
Public services must also be accountable.,403,,Labour
Labour will end the current presumption in favour of outsourcing public services and introduce a presumption in favour of insourcing.,413,,Labour
And we will stop the public getting ripped off by taking back all PFI contracts over time.,413,,Labour
"When services are procured from the private sector, companies will be assessed against best practice public service criteria, including provisions for collective bargaining,",701,,Labour
"In the public sector, we will enforce maximum pay ratios of 20:1.",701,,Labour
"We will repair the damage the Tories have done to our social fabric, with a £150 billion Social Transformation Fund to replace, upgrade and expand our schools,",506,,Labour
Public buildings will be modernised to ensure a reduction in their carbon footprint.,411,,Labour
"Our most valuable assets are the dedicated people who work in our public services, but under this government their pay has been cut in real terms.",701,,Labour
"Labour will restore public sector pay to at least pre-financial crisis levels (in real terms), by delivering year-on-year above-inflation pay rises, starting with a 5% increase, to reward and retain the people who do so much for us all.",701,,Labour
The National Health Service is one of Labour’s proudest achievements.,504,,Labour
"The right to free-at- the-point-of-use healthcare, universal and comprehensive in scope, is socialism in action.",504,,Labour
A decade of Tory health cuts and privatisations has pushed our greatest institution to the brink.,504,,Labour
"Our hospitals are crumbling, equipment is outdated, IT systems are inadequate and community facilities are neglected.",504,,Labour
"There are 100,000 staff vacancies in NHS England, including a shortage of 43,000 nurses.",504,,Labour
"There are 15,000 fewer hospital beds.",504,,Labour
"Every winter, bed occupancy rates exceed dangerous levels.",504,,Labour
"Patients now wait far too long to see their GP, for an ambulance or for treatment.",504,,Labour
Our immediate task is to repair our health services.,413,,Labour
Our urgent priority is to end NHS privatisation.,413,,Labour
"Our mission is to create the conditions to prevent illness and enable people to live longer, healthier lives.",504,,Labour
"A Labour government will invest in the NHS to give patients the modern, well- resourced services they need.",504,,Labour
We will increase expenditure across the health sector by an average 4.3% a year.,504,,Labour
"This investment enables us to end patient charges,",504,,Labour
"guarantee the standards of healthcare patients are entitled to receive from NHS England,",504,,Labour
invest in education for the health workforce,411,,Labour
and restore public health grants.,504,,Labour
Our investments mean we deliver the standards of care enshrined in the NHS.,504,,Labour
We will stabilise our overstretched A&E departments.,504,,Labour
"We will improve stroke, heart disease and cancer survival rates by providing earlier diagnosis and",504,,Labour
We will call a moratorium on bed cuts.,504,,Labour
Every penny spent on privatisation and outsourcing is a penny less spent on patient care.,413,,Labour
Labour will end and reverse privatisation in the NHS in the next Parliament.,413,,Labour
We will repeal the Health and Social Care Act,413,,Labour
and reinstate the responsibilities of the Secretary of State to provide a comprehensive and universal healthcare system.,413,,Labour
We will end the requirement on health authorities to put services out to competitive tender.,413,,Labour
We will ensure services are delivered in-house and also bring subsidiary companies back in-house.,413,,Labour
We will halt the fire sale of NHS land and assets.,413,,Labour
We will publish an infrastructure plan to return NHS England to the international average level of capital investment,411,,Labour
and to ensure future decisions are transparent and balanced fairly between every region.,503,,Labour
We will complete the confirmed hospital rebuilds,411,,Labour
"and invest more in primary care settings,",504,,Labour
"modern AI, cyber technology and state-of-the-art medical equipment, including more MRI and CT scanners.",411,,Labour
"We will ensure data protection for NHS and patient information, a highly valuable publicly funded resource that can be used for better diagnosis of conditions and for ground-breaking research.",411,,Labour
We will ensure NHS data is not exploited by international technology and pharmaceutical corporations.,403,,Labour
We will uphold the principle of comprehensive healthcare by providing free annual NHS dental check-ups.,504,,Labour
"We will guarantee universal healthcare by ensuring women’s and children’s health services are comprehensive,",504,,Labour
"by protecting the rights of EU workers, other migrants and refugees",201.2,,Labour
"and by ensuring all our services are made accessible to BAME, LGBT+ and disabled patients.",503,,Labour
"We will ensure our NHS becomes a net- zero-carbon service with an NHS Forest of one million trees,",416.2,,Labour
"more efficient heating and insulation systems,",416.2,,Labour
"greater reliance on renewable energy, including more solar panelling",416.2,,Labour
"and a transition to electric paramedic vehicles, NHS fleet cars and hybrid ambulances.",416.2,,Labour
We will introduce mandatory standards for NHS in-patient food,504,,Labour
"and will provide free hospital parking for patients, staff and visitors.",504,,Labour
"As medical technologies advance, we will live with a wider array of chronic conditions.",504,,Labour
"Health and care must become more joined-up, more accessible, more personal and more preventative",504,,Labour
We will stop Tory plans to further entrench the private sector delivery of health care under the cover of integration plans set out in the NHS Long Term Plan.,504,,Labour
"Instead we will join up, integrate and co-ordinate care through public bodies.",504,,Labour
"A Labour government will develop a planned model of joined-up community care, enabling people to live longer lives in better health in their own homes.",504,,Labour
We will ensure the voices of local people,503,,Labour
and NHS staff are heard in future developments of the health system.,701,,Labour
We will allocate a greater proportion of overall funding to close-to-home health services,504,,Labour
"and build interdisciplinary, patient-focused services across primary care, mental health and social care.",504,,Labour
We will ensure patients in deprived and remote communities will have better access to primary care services.,504,,Labour
We will also ensure those living with long-term conditions can access the care they need.,504,,Labour
"To support our transition to community health care services, we will expand GP training places to provide resources for 27 million more appointments each year",504,,Labour
and ensure community pharmacy is supported.,504,,Labour
A Labour government will provide an additional £1.6 billion a year to ensure new standards for mental health are enshrined in the NHS constitution ensuring access to treatments is on a par with that for physical health conditions,504,,Labour
Our mental health hospitals are not fit for purpose.,504,,Labour
"Over 1,000 people with mental health problems face hospital stays in old, dormitory-style  hospital wards,",504,,Labour
while less than one in four A&E departments have the facilities to deal with people experiencing a mental health crisis.,504,,Labour
We will invest £2 billion to modernise hospital facilities,411,,Labour
"and end the use of inappropriate, out-of-area placements.",504,,Labour
The legislation for detaining people with learning disabilities and mental illnesses is outdated.,605.2,,Labour
